,district,age_grp,sex,number
35,Rumphi,1-4,F,13262.52623264866
36,Mzimba,1-4,F,56058.50898122069
37,Likoma,1-4,F,687.4579059681972
38,Mzuzu City,1-4,F,10758.605697964496
39,Kasungu,1-4,F,49097.313064903974
40,Nkhotakota,1-4,F,24930.44586684034
41,Ntchisi,1-4,F,19296.08811962065
42,Dowa,1-4,F,42942.581755157145
43,Salima,1-4,F,31705.8163337835
44,Lilongwe,1-4,F,98550.02583685835
45,Mchinji,1-4,F,36338.85762362922
46,Dedza,1-4,F,50604.22620022348
47,Ntcheu,1-4,F,39286.760594171086
48,Lilongwe City,1-4,F,50682.20420127805
49,Mangochi,1-4,F,83956.38481870713
50,Machinga,1-4,F,51597.54885659974
51,Zomba,1-4,F,44334.532317161356
52,Chiradzulu,1-4,F,19221.849162872153
53,Blantyre,1-4,F,24722.522964407606
54,Mwanza,1-4,F,7997.194403928247
55,Thyolo,1-4,F,39393.32937559602
56,Mulanje,1-4,F,38840.11255549205
57,Phalombe,1-4,F,26129.206147397836
58,Chikwawa,1-4,F,34965.897666659585
59,Nsanje,1-4,F,19524.68104877527
60,Balaka,1-4,F,27513.25388533666
61,Neno,1-4,F,8595.21616012611
62,Zomba City,1-4,F,5113.4950720387
63,Blantyre City,1-4,F,39147.484964961564
64,Chitipa,5-9,F,18608.6908486466
65,Karonga,5-9,F,28596.649243345713
