Variant,Period,Sex,Age_Grp,death_rate
WPP_Medium,2060-2064,M,65-69,0.025633309
WPP_Medium,2060-2064,M,70-74,0.040693432
WPP_Medium,2060-2064,M,75-79,0.0667373
WPP_Medium,2060-2064,M,80-84,0.11249361
WPP_Medium,2060-2064,M,85-89,0.19031005
WPP_Medium,2060-2064,M,90-94,0.31284523
WPP_Medium,2060-2064,M,95-99,0.45794973
WPP_Medium,2065-2069,M,0-0,0.010074434
WPP_Medium,2065-2069,M,1-4,0.00072329917
WPP_Medium,2065-2069,M,5-9,0.0003523365
WPP_Medium,2065-2069,M,10-14,0.00030632606
WPP_Medium,2065-2069,M,15-19,0.00064669553
WPP_Medium,2065-2069,M,20-24,0.0010434841
WPP_Medium,2065-2069,M,25-29,0.0013296113
WPP_Medium,2065-2069,M,30-34,0.0017920468
WPP_Medium,2065-2069,M,35-39,0.0025216158
WPP_Medium,2065-2069,M,40-44,0.003432679
WPP_Medium,2065-2069,M,45-49,0.004752995
WPP_Medium,2065-2069,M,50-54,0.0071062544
WPP_Medium,2065-2069,M,55-59,0.0098247733
WPP_Medium,2065-2069,M,60-64,0.015116668
WPP_Medium,2065-2069,M,65-69,0.023647539
WPP_Medium,2065-2069,M,70-74,0.037663824
WPP_Medium,2065-2069,M,75-79,0.062163234
WPP_Medium,2065-2069,M,80-84,0.10549287
WPP_Medium,2065-2069,M,85-89,0.17993288
WPP_Medium,2065-2069,M,90-94,0.29818005
WPP_Medium,2065-2069,M,95-99,0.44140904
WPP_Medium,2070-2074,M,0-0,0.0093321768
WPP_Medium,2070-2074,M,1-4,0.00064491237
WPP_Medium,2070-2074,M,5-9,0.00032160931
WPP_Medium,2070-2074,M,10-14,0.00028127746
WPP_Medium,2070-2074,M,15-19,0.00060627218
WPP_Medium,2070-2074,M,20-24,0.00097746051
WPP_Medium,2070-2074,M,25-29,0.0012350439
WPP_Medium,2070-2074,M,30-34,0.0016562379
WPP_Medium,2070-2074,M,35-39,0.0023153437
