Year,Sex,Age_Grp,Variant,Count
2003,F,80-84,GBD_Est,2491.9319819182033
2003,F,85-89,GBD_Est,1292.0060536594563
2003,F,90-94,GBD_Est,550.0097308258588
2003,M,0-4,GBD_Est,38346.08135828351
2003,M,10-14,GBD_Est,1205.1530342872843
2003,M,15-19,GBD_Est,1583.5734492635672
2003,M,20-24,GBD_Est,2038.3460748900386
2003,M,25-29,GBD_Est,3371.5757257566083
2003,M,30-34,GBD_Est,5031.787481890026
2003,M,35-39,GBD_Est,6110.547165372871
2003,M,40-44,GBD_Est,5940.72659334085
2003,M,45-49,GBD_Est,5212.431261792343
2003,M,5-9,GBD_Est,2057.1198371094856
2003,M,50-54,GBD_Est,4553.233485374128
2003,M,55-59,GBD_Est,4093.3903889115704
2003,M,60-64,GBD_Est,4038.1116176721966
2003,M,65-69,GBD_Est,4001.9397487147207
2003,M,70-74,GBD_Est,3891.0467930855557
2003,M,75-79,GBD_Est,3012.929272191048
2003,M,80-84,GBD_Est,1980.1510243543084
2003,M,85-89,GBD_Est,860.3031290633896
2003,M,90-94,GBD_Est,305.7955473906107
2004,F,0-4,GBD_Est,31453.969294894843
2004,F,10-14,GBD_Est,910.9966502087444
2004,F,15-19,GBD_Est,1547.4739028417869
2004,F,20-24,GBD_Est,3681.199862764515
2004,F,25-29,GBD_Est,7315.319781629434
2004,F,30-34,GBD_Est,7625.217107316248
2004,F,35-39,GBD_Est,6482.160162321226
2004,F,40-44,GBD_Est,5175.739939295295
2004,F,45-49,GBD_Est,4239.207349231217
2004,F,5-9,GBD_Est,1799.7110041237288
2004,F,50-54,GBD_Est,3654.638151137761
2004,F,55-59,GBD_Est,3006.783928035017
2004,F,60-64,GBD_Est,2707.9316481691544
2004,F,65-69,GBD_Est,2707.4650356012125
2004,F,70-74,GBD_Est,3072.132568793696
2004,F,75-79,GBD_Est,3145.6410210348386
2004,F,80-84,GBD_Est,2548.82268729716
2004,F,85-89,GBD_Est,1357.29863216528
2004,F,90-94,GBD_Est,578.7870170578001
2004,M,0-4,GBD_Est,36633.1544064397
2004,M,10-14,GBD_Est,1238.2555138254233
2004,M,15-19,GBD_Est,1652.8291649262287
2004,M,20-24,GBD_Est,2027.23213709332
2004,M,25-29,GBD_Est,3358.9823332512933
2004,M,30-34,GBD_Est,4980.681250190489
2004,M,35-39,GBD_Est,6140.180668628543
2004,M,40-44,GBD_Est,6026.327822788456
2004,M,45-49,GBD_Est,5302.462634903805
2004,M,5-9,GBD_Est,2072.6073986913757
2004,M,50-54,GBD_Est,4588.9195284742345
2004,M,55-59,GBD_Est,4161.611292055254
2004,M,60-64,GBD_Est,4104.05584771845
2004,M,65-69,GBD_Est,4023.1254087895
2004,M,70-74,GBD_Est,3873.9139107527994
